Group,Model,ParentA,ParentB,PieceA,PieceB,AxisDistance,CapsuleDistance,ExactDistance,CapsuleConnected,ExactConnected
3,M0,134,237,134,237,20.5379092753271,-39.4620907246729,0,1,1
3,M0,136,235,136,235,11.2236678179846,-48.7763321820154,0,1,1
3,M0,137,180,137,180,7.53658641222595,-52.463413587774,0,1,1
3,M0,137,186,137,186,52.097267385145,-7.90273261485502,0,1,1
3,M0,144,336,144,336,53.8285791666457,-6.17142083335435,0,1,1
3,M0,146,160,146,160,31.5701422800903,-28.4298577199097,0,1,1
3,M0,154,249,154,249,32.9887207968254,-27.0112792031746,0,1,1
3,M0,157,161,157,161,15.5351113918957,-44.4648886081043,0,1,1
3,M0,157,195,157,195,19.9581856202441,-40.0418143797559,0,1,1
3,M0,158,207,158,207,3.98828098974881,-56.0117190102512,0,1,1
3,M0,159,237,159,237,58.7907034037705,-1.20929659622952,0,1,1
3,M0,160,190,160,190,14.2839426819517,-45.7160573180483,0,1,1
3,M0,162,176,162,176,59.2145835836168,-0.785416416383185,0,1,1
3,M0,165,209,165,209,6.62456547988507,-53.3754345201149,0,1,1
3,M0,167,173,167,173,18.2483834819251,-41.7516165180749,0,1,1
3,M0,170,193,170,193,9.13840450970887,-50.8615954902911,0,1,1
3,M0,170,355,170,355,25.1528675746993,-34.8471324253007,0,1,1
3,M0,172,316,172,316,60.6787506389012,0.678750638901178,0.678750639256177,1,1
3,M0,174,209,174,209,41.4831763720654,-18.5168236279346,0,1,1
3,M0,176,196,176,196,12.8601614180048,-47.1398385819952,0,1,1
3,M0,177,181,177,181,58.4712208256913,-1.52877917430867,0,1,1
3,M0,178,199,178,199,14.7510941977761,-45.2489058022239,0,1,1
3,M0,180,223,180,223,14.2373594382039,-45.7626405617961,0,1,1
3,M0,180,277,180,277,38.3627715540604,-21.6372284459396,0,1,1
3,M0,186,223,186,223,23.9439425831167,-36.0560574168833,0,1,1
3,M0,186,284,186,284,8.20111445725882,-51.7988855427412,0,1,1
3,M0,188,195,188,195,13.3835254227427,-46.6164745772573,0,1,1
3,M0,203,216,203,216,41.6568040288338,-18.3431959711662,0,1,1
3,M0,203,285,203,285,34.2780557531296,-25.7219442468704,0,1,1
3,M0,206,303,206,303,61.7786710871069,1.77867108710692,1.77867108710711,1,1
3,M0,208,225,208,225,49.4487863600718,-10.5512136399282,11.934210612242,1,0
3,M0,211,285,211,285,0.225686257350192,-59.7743137426498,0,1,1
3,M0,211,362,211,362,23.7029149549851,-36.2970850450149,0,1,1
3,M0,216,264,216,264,54.9135831971758,-5.08641680282418,0,1,1
3,M0,216,285,216,285,44.757989538027,-15.242010461973,0,1,1
3,M0,216,351,216,351,36.0279076579219,-23.9720923420781,0,1,1
3,M0,221,299,221,299,47.2335760789479,-12.7664239210521,0,1,1
3,M0,223,317,223,317,29.2597627611845,-30.7402372388155,0,1,1
3,M0,224,238,224,238,56.3070499459327,-3.69295005406735,0,1,1
3,M0,225,271,225,271,12.8336530359692,-47.1663469640308,0,1,1
3,M0,225,295,225,295,20.0768414600129,-39.9231585399871,0,1,1
3,M0,227,281,227,281,12.7696251985405,-47.2303748014595,0,1,1
3,M0,233,321,233,321,56.1458681276714,-3.85413187232861,0,1,1
3,M0,233,362,233,362,16.1902595550809,-43.8097404449191,0,1,1
3,M0,238,314,238,314,43.4188798625674,-16.5811201374326,0,1,1
3,M0,238,387,238,387,14.3571554951467,-45.6428445048533,0,1,1
3,M0,242,246,242,246,38.2306165778446,-21.7693834221554,0,1,1
3,M0,242,252,242,252,37.4756749512626,-22.5243250487374,0,1,1
3,M0,246,252,246,252,4.82755300198373,-55.1724469980163,0,1,1
3,M0,249,264,249,264,2.79432741462244,-57.2056725853776,0,1,1
3,M0,249,272,249,272,13.4521797025606,-46.5478202974394,0,1,1
3,M0,255,289,255,289,14.3497488749474,-45.6502511250526,0,1,1
3,M0,255,313,255,313,23.783920388354,-36.216079611646,0,1,1
3,M0,257,328,257,328,42.7556704026431,-17.2443295973569,0,1,1
3,M0,260,421,260,421,36.3908597288283,-23.6091402711717,0,1,1
3,M0,263,276,263,276,3.96434762161607,-56.0356523783839,0,1,1
3,M0,265,412,265,412,52.0981484594335,-7.9018515405665,0,1,1
3,M0,267,315,267,315,29.3224705777896,-30.6775294222104,0,1,1
3,M0,273,294,273,294,35.6288745258631,-24.3711254741369,0,1,1
3,M0,276,300,276,300,40.7346370553548,-19.2653629446452,0,1,1
3,M0,277,317,277,317,4.76811214777482,-55.2318878522252,0,1,1
3,M0,278,306,278,306,52.8427557790863,-7.15724422091374,0,1,1
3,M0,283,292,283,292,25.6328402470529,-34.3671597529471,0,1,1
3,M0,293,449,293,449,61.4529593482505,1.45295934825052,1.45295934825316,1,1
3,M0,295,436,295,436,1.47313520786344,-58.5268647921366,0,1,1
3,M0,303,328,303,328,19.2277501249868,-40.7722498750132,0,1,1
3,M0,305,479,305,479,28.9465780159926,-31.0534219840074,0,1,1
3,M0,308,317,308,317,14.4742497077559,-45.5257502922441,0,1,1
3,M0,309,396,309,396,7.72052057564022,-52.2794794243598,0,1,1
3,M0,311,378,311,378,10.2436980956244,-49.7563019043756,0,1,1
3,M0,316,321,316,321,16.8786268938651,-43.1213731061349,0,1,1
3,M0,318,339,318,339,23.4997252460221,-36.5002747539779,0,1,1
3,M0,318,484,318,484,56.2399236620715,-3.76007633792845,1.20650185251483,1,1
3,M0,320,324,320,324,39.1033609439143,-20.8966390560857,0,1,1
3,M0,320,328,320,328,14.8930291346296,-45.1069708653704,0,1,1
3,M0,323,373,323,373,39.2887208843668,-20.7112791156332,0,1,1
3,M0,324,328,324,328,18.33523445013,-41.66476554987,0,1,1
3,M0,338,398,338,398,14.4864597071771,-45.5135402928229,0,1,1
3,M0,340,341,340,341,5.91773250368904,-54.082267496311,0,1,1
3,M0,343,353,343,353,40.1938999976992,-19.8061000023008,0,1,1
3,M0,343,384,343,384,0.943321075035646,-59.0566789249644,0,1,1
3,M0,347,367,347,367,52.7599146661225,-7.24008533387746,0,1,1
3,M0,347,395,347,395,16.5371624342577,-43.4628375657423,0,1,1
3,M0,351,451,351,451,8.25467915677045,-51.7453208432296,0,1,1
3,M0,352,356,352,356,39.7069139348631,-20.2930860651369,0,1,1
3,M0,357,358,357,358,4.34320685143078,-55.6567931485692,0,1,1
3,M0,367,428,367,428,35.6227525607525,-24.3772474392475,0,1,1
3,M0,377,500,377,500,15.677716971966,-44.322283028034,0,1,1
3,M0,379,388,379,388,28.7476065262159,-31.2523934737841,0,1,1
3,M0,380,479,380,479,1.59413842749224,-58.4058615725078,0,1,1
3,M0,382,393,382,393,48.4982523348582,-11.5017476651418,0,1,1
3,M0,389,472,389,472,20.832902694173,-39.167097305827,0,1,1
3,M0,389,487,389,487,27.8588340662445,-32.1411659337555,0,1,1
3,M0,390,391,390,391,21.7309844229824,-38.2690155770176,0,1,1
3,M0,394,395,394,395,49.9990251356868,-10.0009748643132,0,1,1
3,M0,406,421,406,421,15.9751121152154,-44.0248878847846,0,1,1
3,M0,411,446,411,446,2.41327469723226,-57.5867253027677,0,1,1
3,M0,427,436,427,436,7.44892212469342,-52.5510778753066,0,1,1
3,M0,428,448,428,448,25.2989207647998,-34.7010792352002,0,1,1
3,M0,429,499,429,499,36.7791838301886,-23.2208161698114,0,1,1
3,M0,437,448,437,448,27.6933624264308,-32.3066375735692,0,1,1
3,M0,446,494,446,494,47.541381561982,-12.458618438018,0,1,1
3,M0,453,487,453,487,37.6828374530386,-22.3171625469614,0,1,1
3,M0,460,509,460,509,41.2593338469237,-18.7406661530763,0,1,1
3,M0,464,524,464,524,27.4840681665254,-32.5159318334746,0,1,1
3,M0,472,483,472,483,12.8643192195415,-47.1356807804585,0,1,1
3,M0,472,487,472,487,32.7451259003485,-27.2548740996515,0,1,1
3,M0,482,529,482,529,58.524443773668,-1.47555622633195,0,1,1
3,M0,483,487,483,487,33.5549405121124,-26.4450594878876,0,1,1
3,M0,493,519,493,519,48.4784430504629,-11.5215569495371,0,1,1
3,M1,1,190,1,234,2.48388127475481,-57.5161187252452,0,1,1
3,M1,2,11,2,11,28.3609817785024,-31.6390182214976,0,1,1
3,M1,2,106,2,107,39.5970938475744,-20.4029061524256,0,1,1
3,M1,2,103,2,135,3.50174297594773,-56.4982570240523,0,1,1
3,M1,6,105,6,106,50.5851739741898,-9.41482602581019,0,1,1
3,M1,10,94,10,94,41.4321392304711,-18.5678607695289,0,1,1
3,M1,10,97,10,97,35.5663310110501,-24.4336689889499,0,1,1
3,M1,13,94,13,94,42.6014655650072,-17.3985344349928,0,1,1
3,M1,13,105,13,106,17.3953381344018,-42.6046618655982,0,1,1
3,M1,13,238,13,281,34.8579009813602,-25.1420990186398,0,1,1
3,M1,14,105,14,106,6.47117067564562,-53.5288293243544,0,1,1
3,M1,16,123,16,143,60.6514112062511,0.65141120625109,0.651411206267776,1,1
3,M1,21,36,21,36,32.6067186648203,-27.3932813351797,0,1,1
3,M1,23,117,23,119,17.7595591183695,-42.2404408816305,0,1,1
3,M1,29,141,29,156,57.7531825989781,-2.24681740102191,0,1,1
3,M1,31,32,31,32,21.6690882153175,-38.3309117846825,0,1,1
3,M1,32,183,32,207,11.208067023247,-48.791932976753,0,1,1
3,M1,33,128,33,138,23.0869297094121,-36.9130702905879,0,1,1
3,M1,46,112,46,114,26.1902684564598,-33.8097315435402,0,1,1
3,M1,50,125,50,131,41.2301921852901,-18.7698078147099,0,1,1
3,M1,57,140,57,155,34.2879407896581,-25.7120592103419,0,1,1
3,M1,63,223,63,264,56.7649958244215,-3.23500417557849,0,1,1
3,M1,65,119,65,122,13.9505795065394,-46.0494204934606,0,1,1
3,M1,67,96,67,96,22.7309740671356,-37.2690259328644,0,1,1
3,M1,72,164,72,183,15.2232950846474,-44.7767049153526,0,1,1
3,M1,76,99,76,100,42.938365603722,-17.061634396278,0,1,1
3,M1,77,181,77,205,31.4649037375362,-28.5350962624638,0,1,1
3,M1,79,119,79,122,60.7906647820018,0.790664782001826,0.79066478204588,1,1
3,M1,79,162,79,181,7.16867298121423,-52.8313270187858,0,1,1
3,M1,92,115,92,117,55.1530698039645,-4.84693019603551,0,1,1
3,M1,92,96,92,121,42.9687490304333,-17.0312509695667,0,1,1
3,M1,92,110,92,132,49.0382103498346,-10.9617896501654,0,1,1
3,M1,94,124,94,128,55.5243012508299,-4.47569874917011,0,1,1
3,M1,94,162,94,181,22.7884022180745,-37.2115977819255,0,1,1
3,M1,95,108,95,109,13.5722455829447,-46.4277544170553,0,1,1
3,M1,95,122,95,126,23.1958774985909,-36.8041225014091,0,1,1
3,M1,97,169,97,190,48.2581123327412,-11.7418876672588,0,1,1
3,M1,100,231,101,274,44.0259653595712,-15.9740346404288,0,1,1
3,M1,102,212,103,249,38.5714471837552,-21.4285528162448,0,1,1
3,M1,104,190,105,215,6.31648127031228,-53.6835187296877,0,1,1
3,M1,107,124,108,128,60.6696381011174,0.669638101117371,0.669638101117926,1,1
3,M1,108,111,109,113,2.32680964221361,-57.6731903577864,0,1,1
3,M1,56,110,110,132,3.42359142128292,-56.5764085787171,0,1,1
3,M1,113,103,115,135,36.9974063222664,-23.0025936777336,0,1,1
3,M1,115,148,117,164,21.9846553771493,-38.0153446228507,0,1,1
3,M1,115,165,117,184,48.4200721197756,-11.5799278802244,0,1,1
3,M1,116,128,118,138,12.033247097963,-47.966752902037,0,1,1
3,M1,117,120,119,123,4.84064581963682,-55.1593541803632,0,1,1
3,M1,96,124,121,128,45.7108805478984,-14.2891194521016,0,1,1
3,M1,96,146,121,161,56.4579456145658,-3.54205438543416,0,1,1
3,M1,91,146,124,161,38.9206120522946,-21.0793879477054,0,1,1
3,M1,91,190,124,234,28.8452418445635,-31.1547581554365,0,1,1
3,M1,125,141,131,156,5.72609773096728,-54.2739022690327,0,1,1
3,M1,110,162,132,181,53.9177421384114,-6.08225786158859,0,1,1
3,M1,39,48,133,169,26.845335949208,-33.154664050792,0,1,1
3,M1,88,144,134,159,55.2039734156121,-4.79602658438785,0,1,1
3,M1,88,184,134,237,20.5379092753271,-39.4620907246729,0,1,1
3,M1,126,204,136,235,11.2236678179846,-48.7763321820154,0,1,1
3,M1,127,161,137,180,7.53658641222595,-52.463413587774,0,1,1
3,M1,127,167,137,186,52.097267385145,-7.90273261485502,0,1,1
3,M1,130,283,144,336,53.8285791666457,-6.17142083335435,0,1,1
3,M1,85,145,146,160,31.5701422800903,-28.4298577199097,0,1,1
3,M1,139,212,154,249,32.9887207968254,-27.0112792031746,0,1,1
3,M1,142,146,157,161,15.5351113918957,-44.4648886081043,0,1,1
3,M1,142,166,157,195,19.9581856202441,-40.0418143797559,0,1,1
3,M1,143,183,158,207,3.98828098974881,-56.0117190102512,0,1,1
3,M1,144,184,159,237,58.7907034037705,-1.20929659622952,0,1,1
3,M1,145,169,160,190,14.2839426819517,-45.7160573180483,0,1,1
3,M1,138,158,162,176,59.2145835836168,-0.785416416383185,0,1,1
3,M1,149,76,165,209,6.62456547988507,-53.3754345201149,0,1,1
3,M1,151,131,167,173,18.2483834819251,-41.7516165180749,0,1,1
3,M1,153,172,170,193,9.13840450970887,-50.8615954902911,0,1,1
3,M1,153,234,170,355,25.1528675746993,-34.8471324253007,0,1,1
3,M1,155,264,172,316,60.6787506389012,0.678750638901178,0.678750639256177,1,1
3,M1,156,76,174,209,41.4831763720654,-18.5168236279346,0,1,1
3,M1,158,174,176,196,12.8601614180048,-47.1398385819952,0,1,1
3,M1,159,162,177,181,58.4712208256913,-1.52877917430867,0,1,1
3,M1,160,175,178,199,14.7510941977761,-45.2489058022239,0,1,1
3,M1,161,197,180,223,14.2373594382039,-45.7626405617961,0,1,1
3,M1,161,234,180,277,38.3627715540604,-21.6372284459396,0,1,1
3,M1,167,197,186,223,23.9439425831167,-36.0560574168833,0,1,1
3,M1,167,240,186,284,8.20111445725882,-51.7988855427412,0,1,1
3,M1,168,166,188,195,13.3835254227427,-46.6164745772573,0,1,1
3,M1,179,191,203,216,41.6568040288338,-18.3431959711662,0,1,1
3,M1,179,241,203,285,34.2780557531296,-25.7219442468704,0,1,1
3,M1,182,256,206,303,61.7786710871069,1.77867108710692,1.77867108710711,1,1
3,M1,184,199,208,225,49.4487863600718,-10.5512136399282,11.934210612242,1,0
3,M1,186,241,211,285,0.225686257350192,-59.7743137426498,0,1,1
3,M1,186,289,211,362,23.7029149549851,-36.2970850450149,0,1,1
3,M1,191,223,216,264,54.9135831971758,-5.08641680282418,0,1,1
3,M1,191,241,216,285,44.757989538027,-15.242010461973,0,1,1
3,M1,191,296,216,351,36.0279076579219,-23.9720923420781,0,1,1
3,M1,195,253,221,299,47.2335760789479,-12.7664239210521,0,1,1
3,M1,197,265,223,317,29.2597627611845,-30.7402372388155,0,1,1
3,M1,198,206,224,238,56.3070499459327,-3.69295005406735,0,1,1
3,M1,199,230,225,271,12.8336530359692,-47.1663469640308,0,1,1
3,M1,199,250,225,295,20.0768414600129,-39.9231585399871,0,1,1
3,M1,135,238,227,281,12.7696251985405,-47.2303748014595,0,1,1
3,M1,205,269,233,321,56.1458681276714,-3.85413187232861,0,1,1
3,M1,205,289,233,362,16.1902595550809,-43.8097404449191,0,1,1
3,M1,206,263,238,314,43.4188798625674,-16.5811201374326,0,1,1
3,M1,206,318,238,387,14.3571554951467,-45.6428445048533,0,1,1
3,M1,208,163,242,246,38.2306165778446,-21.7693834221554,0,1,1
3,M1,208,180,242,252,37.4756749512626,-22.5243250487374,0,1,1
3,M1,163,180,246,252,4.82755300198373,-55.1724469980163,0,1,1
3,M1,212,223,249,264,2.79432741462244,-57.2056725853776,0,1,1
3,M1,212,147,249,272,13.4521797025606,-46.5478202974394,0,1,1
3,M1,217,245,255,289,14.3497488749474,-45.6502511250526,0,1,1
3,M1,217,262,255,313,23.783920388354,-36.216079611646,0,1,1
3,M1,218,276,257,328,42.7556704026431,-17.2443295973569,0,1,1
3,M1,220,335,260,421,36.3908597288283,-23.6091402711717,0,1,1
3,M1,185,233,263,276,3.96434762161607,-56.0356523783839,0,1,1
3,M1,224,326,265,412,52.0981484594335,-7.9018515405665,0,1,1
3,M1,226,198,267,315,29.3224705777896,-30.6775294222104,0,1,1
3,M1,216,249,273,294,35.6288745258631,-24.3711254741369,0,1,1
3,M1,233,230,276,300,40.7346370553548,-19.2653629446452,0,1,1
3,M1,234,265,277,317,4.76811214777482,-55.2318878522252,0,1,1
3,M1,235,258,278,306,52.8427557790863,-7.15724422091374,0,1,1
3,M1,177,247,283,292,25.6328402470529,-34.3671597529471,0,1,1
3,M1,248,344,293,449,61.4529593482505,1.45295934825052,1.45295934825316,1,1
3,M1,250,340,295,436,1.47313520786344,-58.5268647921366,0,1,1
3,M1,256,276,303,328,19.2277501249868,-40.7722498750132,0,1,1
3,M1,257,55,305,479,28.9465780159926,-31.0534219840074,0,1,1
3,M1,247,265,308,317,14.4742497077559,-45.5257502922441,0,1,1
3,M1,259,322,309,396,7.72052057564022,-52.2794794243598,0,1,1
3,M1,260,311,311,378,10.2436980956244,-49.7563019043756,0,1,1
3,M1,264,269,316,321,16.8786268938651,-43.1213731061349,0,1,1
3,M1,266,286,318,339,23.4997252460221,-36.5002747539779,0,1,1
3,M1,266,354,318,484,56.2399236620715,-3.76007633792845,1.20650185251483,1,1
