Group,RecordA,RecordB,TranslationX,TranslationY,TranslationZ,DirectionError,EndpointError,BoundaryDescription
3,91,526,-10000,0,0,2.08482667245536e-14,0,XMin(A)<->XMax(B)
3,92,140,0,0,10000,2.00090558707606e-15,0,ZMax(A)<->ZMin(B)
3,96,121,0,0,-10000,3.09272347224979e-15,0,ZMin(A)<->ZMax(B)
3,104,135,0,10000,0,5.10581900650871e-15,0,YMax(A)<->YMin(B)
3,105,258,0,0,-10000,2.66832726842214e-15,0,ZMin(A)<->ZMax(B)
3,112,132,0,0,-10000,5.47172153380142e-15,0,ZMin(A)<->ZMax(B)
3,123,129,0,-10000,0,1.66486739712358e-14,0,YMin(A)<->YMax(B)
3,127,143,0,10000,0,1.86236603191934e-15,0,YMax(A)<->YMin(B)
3,129,130,0,0,-10000,1.5000676992943e-14,0,ZMin(A)<->ZMax(B)
3,138,187,0,0,-10000,1.31242496837824e-14,0,ZMin(A)<->ZMax(B)
3,145,173,0,0,-10000,2.94418503047924e-15,0,ZMin(A)<->ZMax(B)
3,147,349,0,0,10000,4.91054103696384e-15,0,ZMax(A)<->ZMin(B)
3,150,227,0,10000,0,2.91473192089444e-15,0,YMax(A)<->YMin(B)
3,152,189,0,10000,0,3.51959960823653e-15,0,YMax(A)<->YMin(B)
3,153,162,0,10000,0,3.39299850214661e-15,0,YMax(A)<->YMin(B)
3,156,290,0,0,10000,4.14553471578229e-15,0,ZMax(A)<->ZMin(B)
3,163,272,0,-10000,0,2.64247073898092e-15,0,YMin(A)<->YMax(B)
3,165,239,0,0,10000,3.71095263703897e-15,0,ZMax(A)<->ZMin(B)
3,166,361,0,-10000,0,5.45812265344121e-15,0,YMin(A)<->YMax(B)
3,167,179,0,0,10000,9.86428627759075e-15,0,ZMax(A)<->ZMin(B)
3,174,218,0,0,10000,4.29126691738617e-15,0,ZMax(A)<->ZMin(B)
3,177,243,0,0,10000,3.83318467226914e-15,0,ZMax(A)<->ZMin(B)
3,182,246,0,10000,0,5.66104886700368e-16,0,YMax(A)<->YMin(B)
3,185,195,0,0,-10000,4.93268978807816e-15,0,ZMin(A)<->ZMax(B)
3,188,366,0,0,10000,2.78141474678069e-15,0,ZMax(A)<->ZMin(B)
3,197,199,0,-10000,0,3.49075375347554e-15,0,YMin(A)<->YMax(B)
3,198,356,0,-10000,0,3.31629768784843e-15,0,YMin(A)<->YMax(B)
3,199,200,0,0,10000,4.87400004294138e-15,0,ZMax(A)<->ZMin(B)
3,201,236,0,10000,0,6.75276670019539e-15,0,YMax(A)<->YMin(B)
3,204,252,0,10000,0,2.1094237467878e-15,0,YMax(A)<->YMin(B)
3,208,232,0,-10000,0,1.01904927555717e-15,0,YMin(A)<->YMax(B)
3,210,263,0,0,10000,2.18759016404202e-15,0,ZMax(A)<->ZMin(B)
3,212,371,0,10000,0,1.79791012530091e-15,0,YMax(A)<->YMin(B)
3,213,304,0,10000,0,2.49947588543117e-15,0,YMax(A)<->YMin(B)
3,215,234,0,0,-10000,7.13615226978163e-15,0,ZMin(A)<->ZMax(B)
3,217,241,0,10000,0,7.74356932257498e-15,0,YMax(A)<->YMin(B)
3,224,315,0,-10000,0,4.49743111653002e-15,0,YMin(A)<->YMax(B)
3,226,244,0,-10000,0,6.95912597827927e-15,0,YMin(A)<->YMax(B)
3,230,359,0,0,10000,3.11110165833785e-15,0,ZMax(A)<->ZMin(B)
3,231,235,0,0,-10000,3.41126215134966e-15,0,ZMin(A)<->ZMax(B)
3,232,237,0,0,-10000,2.67607509334277e-15,0,ZMin(A)<->ZMax(B)
3,234,297,0,-10000,0,3.54620249913494e-15,0,YMin(A)<->YMax(B)
3,236,283,0,0,10000,1.99067663209552e-15,0,ZMax(A)<->ZMin(B)
3,244,256,0,0,10000,4.57116719499777e-15,0,ZMax(A)<->ZMin(B)
3,251,433,0,0,-10000,2.1902737040092e-15,0,ZMin(A)<->ZMax(B)
3,254,273,0,10000,0,1.0179146870344e-14,0,YMax(A)<->YMin(B)
3,271,300,0,-10000,0,2.14365781954769e-15,0,YMin(A)<->YMax(B)
3,277,355,0,0,10000,1.36002320516582e-15,0,ZMax(A)<->ZMin(B)
3,279,369,0,-10000,0,5.01693066099263e-15,0,YMin(A)<->YMax(B)
3,281,310,0,-10000,0,2.04021642196732e-15,0,YMin(A)<->YMax(B)
3,292,308,0,0,-10000,4.07921986653156e-15,0,ZMin(A)<->ZMax(B)
3,301,376,0,-10000,0,2.28356035992546e-15,0,YMin(A)<->YMax(B)
3,302,307,0,-10000,0,2.89757608145331e-15,0,YMin(A)<->YMax(B)
3,311,408,0,0,10000,6.15172764637963e-15,0,ZMax(A)<->ZMin(B)
3,317,345,0,0,10000,6.71317813696771e-16,0,ZMax(A)<->ZMin(B)
3,321,414,0,0,-10000,4.71027737605132e-16,0,ZMin(A)<->ZMax(B)
3,332,335,0,0,-10000,9.93037904500566e-16,0,ZMin(A)<->ZMax(B)
3,334,465,0,0,-10000,6.03541784768565e-15,0,ZMin(A)<->ZMax(B)
3,342,362,0,-10000,0,6.48554623647209e-15,0,YMin(A)<->YMax(B)
3,346,354,0,0,-10000,3.67884423497353e-15,0,ZMin(A)<->ZMax(B)
3,350,391,0,10000,0,8.31301499243823e-15,0,YMax(A)<->YMin(B)
3,352,418,0,10000,0,6.33824564812395e-15,0,YMax(A)<->YMin(B)
3,360,368,0,10000,0,1.52857391333576e-15,0,YMax(A)<->YMin(B)
3,365,395,0,0,-10000,1.82850058338964e-15,0,ZMin(A)<->ZMax(B)
3,375,410,0,-10000,0,8.68250848484586e-15,0,YMin(A)<->YMax(B)
3,383,392,0,-10000,0,2.94916052074168e-15,0,YMin(A)<->YMax(B)
3,399,434,0,0,-10000,5.63602233483576e-15,0,ZMin(A)<->ZMax(B)
3,400,425,0,10000,0,1.73127391391723e-14,0,YMax(A)<->YMin(B)
3,401,407,0,0,-10000,8.11450760568171e-15,0,ZMin(A)<->ZMax(B)
3,406,448,0,0,-10000,3.34405736031696e-15,0,ZMin(A)<->ZMax(B)
3,407,412,0,-10000,0,5.33860297166029e-15,0,YMin(A)<->YMax(B)
3,417,439,0,-10000,0,6.78713214707299e-15,0,YMin(A)<->YMax(B)
3,420,488,0,10000,0,1.87201018341435e-15,0,YMax(A)<->YMin(B)
3,423,432,0,-10000,0,1.07788877068593e-14,0,YMin(A)<->YMax(B)
3,424,527,0,-10000,0,5.61321778396092e-16,0,YMin(A)<->YMax(B)
3,426,445,0,0,-10000,9.83037289534592e-15,0,ZMin(A)<->ZMax(B)
3,427,458,0,0,-10000,4.44401350377387e-15,0,ZMin(A)<->ZMax(B)
3,431,513,0,0,10000,3.58415039267489e-15,0,ZMax(A)<->ZMin(B)
3,438,469,0,-10000,0,2.19146045123429e-15,0,YMin(A)<->YMax(B)
3,440,470,0,0,-10000,3.51269810369467e-15,0,ZMin(A)<->ZMax(B)
3,442,457,0,10000,0,5.10853414576283e-15,0,YMax(A)<->YMin(B)
3,451,475,0,0,-10000,2.13645827672757e-15,0,ZMin(A)<->ZMax(B)
3,467,495,0,-10000,0,6.13705841527004e-15,0,YMin(A)<->YMax(B)
3,473,493,0,-10000,0,2.7873287204164e-15,0,YMin(A)<->YMax(B)
3,474,486,0,10000,0,7.26411722016511e-15,0,YMax(A)<->YMin(B)
3,492,494,0,0,10000,6.02698060687636e-15,0,ZMax(A)<->ZMin(B)
3,503,532,0,10000,0,1.28514009962695e-14,0,YMax(A)<->YMin(B)
